"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CIT",0,3.39568584634954,0.363,0.031,0,"9","CIT"
"KIAA1217",3.51303052036887e-121,1.02268648187661,0.26,0.081,8.44848709843511e-117,"9","KIAA1217"
