"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRCIN1",2.41278084430012e-68,0.285320179807243,0.313,0.156,5.862333617396e-64,"3","SRCIN1"
"SRCIN11",6.63356479526055e-59,0.359633744371819,0.324,0.158,1.61175723830446e-54,"10","SRCIN1"
"CIT",0,4.12166719485133,0.252,0.011,0,"15","CIT"
"CIT1",0,4.41618240243262,0.317,0.012,0,"17","CIT"
"KIAA1217",3.10303073694767e-98,4.28310807672194,0.26,0.007,7.53943378156175e-94,"22","KIAA1217"
