"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRCIN1",2.27805533000158e-80,0.477939649416173,0.261,0.074,5.95916493775114e-76,"27","SRCIN1"
"SRCIN11",3.21606473798389e-113,1.32444432930979,0.345,0.074,8.41290374809205e-109,"31","SRCIN1"
